Date,Open,High,Low,Close,Adj Close,Volume
2018-12-24,0.510000,0.598000,0.500000,0.598000,0.598000,1800
2018-12-26,0.595000,0.595000,0.550000,0.550000,0.550000,21200
2018-12-27,0.588000,0.588000,0.550000,0.560000,0.560000,13700
2018-12-28,0.560000,0.625000,0.522000,0.570000,0.570000,6700
2018-12-31,0.580000,0.695000,0.580000,0.650000,0.650000,83800
2019-01-02,0.719000,0.750000,0.622000,0.622000,0.622000,82100
2019-01-03,0.630000,0.695000,0.600000,0.610000,0.610000,16500
2019-01-04,0.698000,0.698000,0.602000,0.675000,0.675000,13900
2019-01-07,0.675000,0.680000,0.622000,0.678000,0.678000,30500
2019-01-08,0.640000,0.678000,0.510000,0.595000,0.595000,104600
2019-01-09,0.550000,0.585000,0.550000,0.569000,0.569000,30200
2019-01-10,0.570000,0.643000,0.551000,0.620000,0.620000,83600
2019-01-11,0.560000,0.625000,0.560000,0.622000,0.622000,4000
2019-01-14,0.650000,0.678000,0.610000,0.640000,0.640000,17400
2019-01-15,0.581000,0.640000,0.581000,0.587000,0.587000,2300
2019-01-16,0.620000,0.620000,0.533000,0.600000,0.600000,91700
2019-01-17,0.595000,0.677000,0.594000,0.677000,0.677000,12100
2019-01-18,0.635000,0.720000,0.592000,0.690000,0.690000,24800
2019-01-22,0.690000,0.795000,0.667000,0.715000,0.715000,790100
2019-01-23,0.770000,0.770000,0.630000,0.680000,0.680000,51800
2019-01-24,0.680000,0.700000,0.640000,0.700000,0.700000,16700
2019-01-25,0.660000,0.700000,0.624000,0.660000,0.660000,46700
2019-01-28,0.654000,0.710000,0.600000,0.600000,0.600000,46500
2019-01-29,0.650000,0.700000,0.601000,0.640000,0.640000,64600
2019-01-30,0.700000,0.700000,0.560000,0.647000,0.647000,9600
2019-01-31,0.620000,0.700000,0.620000,0.667000,0.667000,9900
2019-02-01,0.700000,0.700000,0.640000,0.670000,0.670000,12500
2019-02-04,0.700000,0.710000,0.650000,0.710000,0.710000,9200
2019-02-05,0.700000,0.750000,0.650000,0.720000,0.720000,107300
2019-02-06,0.750000,0.750000,0.655000,0.727000,0.727000,10800
2019-02-07,0.750000,0.750000,0.671000,0.702000,0.702000,60100
2019-02-08,0.750000,0.750000,0.710000,0.710000,0.710000,48400
2019-02-11,0.680000,0.746000,0.670000,0.730000,0.730000,10100
2019-02-12,0.750000,0.750000,0.684000,0.730000,0.730000,17700
2019-02-13,0.750000,0.750000,0.724000,0.740000,0.740000,23500
2019-02-14,0.720000,0.820000,0.700000,0.770000,0.770000,151900
2019-02-15,0.776000,0.780000,0.717000,0.750000,0.750000,11800
2019-02-19,0.780000,0.780000,0.720000,0.780000,0.780000,13500
2019-02-20,0.780000,0.850000,0.776000,0.780000,0.780000,284200
2019-02-21,0.830000,0.830000,0.730000,0.786000,0.786000,122000
2019-02-22,0.790000,0.811000,0.756000,0.790000,0.790000,19000
2019-02-25,0.830000,0.830000,0.744000,0.770000,0.770000,18200
2019-02-26,0.770000,0.770000,0.740000,0.740000,0.740000,13200
2019-02-27,0.770000,0.770000,0.705000,0.740000,0.740000,46500
2019-02-28,0.750000,0.770000,0.712000,0.730000,0.730000,11100
2019-03-01,0.750000,0.750000,0.700000,0.735000,0.735000,39400
2019-03-04,0.740000,0.800000,0.740000,0.740000,0.740000,42200
2019-03-05,0.780000,0.780000,0.750000,0.770000,0.770000,70100
2019-03-06,0.780000,0.780000,0.661000,0.700000,0.700000,76100
2019-03-07,0.727000,0.730000,0.700000,0.720000,0.720000,29100
2019-03-08,0.730000,0.730000,0.690000,0.730000,0.730000,34500
2019-03-11,0.700000,0.730000,0.690000,0.690000,0.690000,46400
2019-03-12,0.720000,0.740000,0.650000,0.661000,0.661000,134100
2019-03-13,0.690000,1.040000,0.660000,0.740000,0.740000,865000
2019-03-14,0.780000,0.800000,0.662000,0.740000,0.740000,168300
2019-03-15,0.697000,0.730000,0.680000,0.730000,0.730000,19400
2019-03-18,0.730000,0.757000,0.700000,0.727000,0.727000,27200
2019-03-19,0.703000,0.720000,0.641000,0.720000,0.720000,53000
2019-03-20,0.700000,0.704000,0.660000,0.690000,0.690000,106800
2019-03-21,0.700000,0.700000,0.660000,0.697000,0.697000,88500
2019-03-22,0.664000,0.704000,0.650000,0.650000,0.650000,20700
2019-03-25,0.670000,0.680000,0.639000,0.670000,0.670000,10300
2019-03-26,0.649000,0.680000,0.640000,0.678000,0.678000,73900
2019-03-27,0.680000,0.680000,0.640000,0.663000,0.663000,79300
2019-03-28,0.641000,0.680000,0.633000,0.664000,0.664000,19600
2019-03-29,0.670000,0.700000,0.640000,0.700000,0.700000,255600
2019-04-01,0.704000,0.704000,0.650000,0.650000,0.650000,37700
2019-04-02,0.687000,0.687000,0.590000,0.640000,0.640000,87800
2019-04-03,0.653000,0.653000,0.610000,0.620000,0.620000,40300
2019-04-04,0.614000,0.680000,0.614000,0.680000,0.680000,46200
2019-04-05,0.669000,0.700000,0.633000,0.670000,0.670000,35900
2019-04-08,0.704000,0.704000,0.663000,0.700000,0.700000,44400
2019-04-09,0.676000,0.720000,0.676000,0.700000,0.700000,44000
2019-04-10,0.720000,0.720000,0.699000,0.700000,0.700000,30900
2019-04-11,0.675000,0.720000,0.660000,0.660000,0.660000,10500
2019-04-12,0.651000,0.720000,0.620000,0.700000,0.700000,36400
2019-04-15,0.676000,0.700000,0.650000,0.690000,0.690000,6700
2019-04-16,0.683000,0.700000,0.643000,0.660000,0.660000,27900
2019-04-17,0.654000,0.710000,0.654000,0.688000,0.688000,1600
2019-04-18,0.700000,0.700000,0.640000,0.680000,0.680000,10900
2019-04-22,0.695000,0.695000,0.640000,0.677000,0.677000,6000
2019-04-23,0.695000,0.695000,0.650000,0.686000,0.686000,12300
2019-04-24,0.685000,0.690000,0.640000,0.690000,0.690000,48000
2019-04-25,0.670000,0.690000,0.653000,0.690000,0.690000,12600
2019-04-26,0.690000,0.690000,0.670000,0.687000,0.687000,5500
2019-04-29,0.690000,0.711000,0.670000,0.690000,0.690000,47200
2019-04-30,0.720000,0.720000,0.610000,0.720000,0.720000,20200
2019-05-01,0.710000,0.710000,0.660000,0.660000,0.660000,13200
2019-05-02,0.670000,0.700000,0.650000,0.690000,0.690000,15000
2019-05-03,0.700000,0.700000,0.696000,0.696000,0.696000,44200
2019-05-06,0.700000,0.735000,0.690000,0.705000,0.705000,160700
2019-05-07,0.709000,0.800000,0.709000,0.780000,0.780000,237900
2019-05-08,0.800000,0.820000,0.781000,0.800000,0.800000,227800
2019-05-09,0.810000,0.810000,0.770000,0.790000,0.790000,93100
2019-05-10,0.795000,0.800000,0.764000,0.799000,0.799000,61800
2019-05-13,0.784000,0.799000,0.750000,0.780000,0.780000,155200
2019-05-14,0.761000,0.800000,0.761000,0.794000,0.794000,74400
2019-05-15,0.800000,0.800000,0.780000,0.780000,0.780000,120100
2019-05-16,0.770000,0.800000,0.750000,0.793000,0.793000,32600
2019-05-17,0.790000,0.870000,0.790000,0.850000,0.850000,302000
2019-05-20,0.860000,0.890000,0.850000,0.860000,0.860000,206000
2019-05-21,0.875000,0.930000,0.850000,0.923000,0.923000,189100
2019-05-22,0.980000,0.980000,0.910000,0.960000,0.960000,146300
2019-05-23,0.980000,0.980000,0.870000,0.926000,0.926000,37600
2019-05-24,0.920000,0.930000,0.821000,0.856000,0.856000,96100
2019-05-28,1.080000,1.120000,0.857000,0.923000,0.923000,1578500
2019-05-29,0.920000,0.990000,0.831000,0.984000,0.984000,231700
2019-05-30,1.020000,1.040000,0.920000,0.979000,0.979000,439400
2019-05-31,0.943000,0.980000,0.842000,0.922000,0.922000,181400
2019-06-03,0.990000,0.990000,0.900000,0.940000,0.940000,172700
2019-06-04,0.979000,0.979000,0.920000,0.957000,0.957000,159700
2019-06-05,0.970000,0.980000,0.930000,0.945000,0.945000,116600
2019-06-06,0.950000,0.970000,0.925000,0.950000,0.950000,95400
2019-06-07,0.990000,0.990000,0.940000,0.966000,0.966000,113200
2019-06-10,0.985000,1.100000,0.985000,1.100000,1.100000,377200
2019-06-11,1.120000,1.400000,1.100000,1.190000,1.190000,1038400
2019-06-12,1.240000,1.280000,1.140000,1.180000,1.180000,345200
2019-06-13,1.220000,1.310000,1.187000,1.270000,1.270000,315300
2019-06-14,1.290000,1.290000,1.230000,1.260000,1.260000,210500
2019-06-17,1.320000,1.440000,1.275000,1.440000,1.440000,471600
2019-06-18,1.490000,1.740000,1.302000,1.400000,1.400000,769900
2019-06-19,1.450000,1.500000,1.400000,1.490000,1.490000,200200
2019-06-20,1.500000,1.558000,1.490000,1.550000,1.550000,210700
2019-06-21,1.600000,1.610000,1.510000,1.590000,1.590000,201000
2019-06-24,1.640000,2.060000,1.629000,1.950000,1.950000,757800
2019-06-25,2.030000,2.300000,1.783000,1.910000,1.910000,856400
2019-06-26,2.000000,2.030000,1.800000,2.000000,2.000000,543100
2019-06-27,1.990000,2.000000,1.840000,1.891000,1.891000,193300
2019-06-28,1.870000,1.940000,1.820000,1.870000,1.870000,206400
2019-07-01,1.890000,1.960000,1.850000,1.910000,1.910000,278800
2019-07-02,1.900000,1.925000,1.650000,1.650000,1.650000,255100
2019-07-03,1.620000,1.810000,1.410000,1.800000,1.800000,419600
2019-07-05,1.800000,1.940000,1.750000,1.900000,1.900000,170400
2019-07-08,1.900000,1.900000,1.750000,1.830000,1.830000,108900
2019-07-09,1.830000,1.890000,1.770000,1.830000,1.830000,89700
2019-07-10,1.830000,1.830000,1.720000,1.720000,1.720000,150200
2019-07-11,1.760000,1.920000,1.720000,1.920000,1.920000,367200
2019-07-12,1.950000,2.120000,1.850000,2.000000,2.000000,471600
2019-07-15,2.080000,2.430000,2.000000,2.370000,2.370000,501200
2019-07-16,2.420000,2.900000,2.410000,2.574000,2.574000,1107200
2019-07-17,2.650000,3.450000,2.650000,3.100000,3.100000,1684300
2019-07-18,2.940000,3.200000,2.680000,2.860000,2.860000,908200
2019-07-19,2.830000,3.080000,2.750000,3.030000,3.030000,588000
2019-07-22,3.110000,3.780000,3.090000,3.740000,3.740000,1161700
